服务名称,类型,名称,所属资源名称,operationID1,operationID2,operationID3,operationID4,operationID5,operationID6
ANTIDDOS,Actions,enable,antiddos-eip,UpdateDDosRequest,,,,,
ANTIDDOS,Resources,antiddos-eip,antiddos-eip,ListDDosStatusRequest,,,,,
AOM,Actions,add,aom-alarm,AddOrUpdateMetricOrEventAlarmRuleRequest,,,,,
AOM,Actions,delete,aom-alarm,DeleteMetricOrEventAlarmRuleRequest,,,,,
AOM,Actions,update,aom-alarm,AddOrUpdateMetricOrEventAlarmRuleRequest,,,,,
AOM,Filters,alarm-rule,aom-alarm,,,,,,
AOM,Resources,aom-alarm,aom-alarm,ListMetricOrEventAlarmRuleRequest,,,,,
APIG,Actions,delete,apig-api,DeleteApiV2Request,,,,,
APIG,Actions,delete,apig-stage,DeleteEnvironmentV2Request,,,,,
APIG,Actions,update,apig-api,UpdateApiV2Request,,,,,
APIG,Actions,update,apig-stage,UpdateEnvironmentV2Request,,,,,
APIG,Actions,update-domain,apig-api-groups,UpdateDomainV2Request,,,,,
APIG,Resources,apig-api,apig-api,ListApisV2Request,,,,,
APIG,Resources,apig-api-groups,apig-api-groups,ListApiGroupsV2Request,,,,,
APIG,Resources,apig-stage,apig-stage,ListEnvironmentsV2Request,,,,,
AUTOTAG,Actions,AutoTagUser,,,,,,,
AUTOTAG,Actions,auto-tag-user,resource_class,,,,,,
BASE,Actions,HuaweiCloudBaseAction,,,,,,,
BMS,Actions,fetch-job-status,bms,ShowJobInfosRequest,,,,,
BMS,Actions,instance-reboot,bms,BatchRebootBaremetalServersRequest,,,,,
BMS,Actions,instance-start,bms,BatchStartBaremetalServersRequest,,,,,
BMS,Actions,instance-stop,bms,BatchStopBaremetalServersRequest,,,,,
BMS,Actions,set-instance-profile,bms,UpdateBaremetalServerMetadataRequest,,,,,
BMS,Filters,ephemeral,bms,,,,,,
BMS,Filters,instance-age,bms,,,,,,
BMS,Filters,instance-attribute,bms,ListImagesRequest,,,,,
BMS,Filters,instance-evs,bms,ShowBaremetalServerVolumeInfoRequest,,,,,
BMS,Filters,instance-image,bms,,,,,,
BMS,Filters,instance-image-age,bms,,,,,,
BMS,Filters,instance-uptime,bms,,,,,,
BMS,Filters,instance-user-data,bms,ListBareMetalServerDetailsRequest,,,,,
BMS,Filters,instance-vpc,bms,,,,,,
BMS,Resources,bms,bms,ListBareMetalServersRequest,,,,,
CBR_BACKUP,Actions,delete,cbr-backup,DeleteBackupRequest,,,,,
CBR_BACKUP,Resources,cbr-backup,cbr-backup,ListBackupsRequest,,,,,
CBR_PROTECTABLE,Actions,associate_server_with_vault,cbr-protectable,ListVaultRequest,ListPoliciesRequest,AddVaultResourceRequest,CreateVaultRequest,,
CBR_PROTECTABLE,Resources,cbr-protectable,cbr-protectable,ListProtectableRequest,,,,,
CBR_VAULT,Actions,add_tags,cbr-vault,BatchCreateAndDeleteVaultTagsRequest,,,,,
CBR_VAULT,Actions,associate_vault_policy,cbr-vault,AssociateVaultPolicyRequest,CreatePolicyRequest,,,,
CBR_VAULT,Actions,enable_vault_worm,cbr_vault,UpdateVaultRequest,,,,,
CBR_VAULT,Filters,unassociated,cbr_vault,ListPoliciesRequest,,,,,
CBR_VAULT,Filters,unassociated_with_specific_replication_policy,cbr_vault,ListPoliciesRequest,,,,,
CBR_VAULT,Filters,vault_without_worm,cbr_vault,,,,,,
CBR_VAULT,Filters,without_specific_tags,cbr_vault,,,,,,
CBR_VAULT,Resources,cbr-vault,cbr-vault,ListVaultRequest,,,,,
CC,Actions,delete,cc-cloud-connection,DeleteCloudConnectionRequest,,,,,
CC,Resources,cc-cloud-connection,cc-cloud-connection,ListCloudConnectionsRequest,,,,,
CCM,Actions,disable,ccm-private-ca,DisableCertificateAuthorityRequest,,,,,
CCM,Filters,create-time,ccm-private-certificate,,,,,,
CCM,Filters,crl-obs-bucket,ccm-private-ca,,,,,,
CCM,Filters,issuer-name,ccm-private-ca,,,,,,
CCM,Filters,key-algorithm,ccm-private-ca,,,,,,
CCM,Filters,key-algorithm,ccm-private-certificate,,,,,,
CCM,Filters,obs-bucket-policy,ccm-private-ca,,,,,,
CCM,Filters,signature-algorithm,ccm-private-ca,,,,,,
CCM,Filters,signature-algorithm,ccm-private-certificate,,,,,,
CCM,Filters,status,ccm-private-ca,,,,,,
CCM,Resources,ccm-private-ca,ccm-private-ca,ListCertificateAuthorityRequest,,,,,
CCM,Resources,ccm-private-certificate,ccm-private-certificate,ListCertificateRequest,,,,,
CDN,Actions,delete,cdn-domain,DeleteDomainRequest,,,,,
CDN,Actions,disable,cdn-domain,DisableDomainRequest,,,,,
CDN,Actions,enable,cdn-domain,EnableDomainRequest,,,,,
CDN,Actions,set-attributes,cdn-domain,UpdateDomainFullConfigRequest,,,,,
CDN,Resources,cdn-domain,cdn-domain,ListDomainsRequest,,,,,
CES,Actions,alarm-update-notification,ces-alarm,ListTopicsRequest,UpdateAlarmNotificationsRequest,,,,
CES,Actions,batch-start-alarm-rules,ces-alarm,BatchEnableAlarmRulesRequest,,,,,
CES,Actions,create-kms-event-alarm-rule,ces-alarm,CreateAlarmRulesRequest,,,,,
CES,Actions,create-obs-event-alarm-rule,ces-alarm,CreateAlarmRulesRequest,setBucketPolicy,,,,
CES,Actions,create-vpc-event-alarm-rule,ces-alarm,CreateAlarmRulesRequest,,,,,
CES,Actions,notify-by-smn,ces-alarm,PublishMessageRequest,,,,,
CES,Filters,alarm-namespace-metric,ces-alarm,,,,,,
CES,Filters,alarm-notification,ces-alarm,,,,,,
CES,Filters,missing,ces-alarm,,,,,,
CES,Resources,ces-alarm,ces-alarm,ListAlarmRulesRequest,,,,,
COC,Actions,non_compliant_alarm,coc,PublishMessageRequest,,,,,
COC,Resources,coc,coc,ListInstanceCompliantRequest,,,,,
CONFIG,Actions,delete-tracker,config-tracker,DeleteTrackerConfigRequest,,,,,
CONFIG,Filters,config-compliance,resource_class,,,,,,
CONFIG,Filters,retention,config,,,,,,
CONFIG,Resources,config-tracker,config-tracker,ShowTrackerConfigRequest,,,,,
CTS-NOTIFICATION-FUNC,Actions,update-notification,cts-notification-func,UpdateNotificationRequest,,,,,
CTS-NOTIFICATION-FUNC,Resources,cts-notification-func,cts-notification-func,ListNotificationsRequest,,,,,
CTS-NOTIFICATION-SMN,Actions,update-notification,cts-notification-smn,UpdateNotificationRequest,,,,,
CTS-NOTIFICATION-SMN,Resources,cts-notification-smn,cts-notification-smn,ListNotificationsRequest,,,,,
CTS-TRACKER,Actions,delete-tracker,cts-tracker,DeleteTrackerRequest,,,,,
CTS-TRACKER,Actions,set-trace-file-validation,cts-tracker,UpdateTrackerRequest,,,,,
CTS-TRACKER,Actions,toggle-tracker,cts-tracker,UpdateTrackerRequest,,,,,
CTS-TRACKER,Resources,cts-tracker,cts-tracker,ListTrackersRequest,,,,,
DC,Filters,age,dc,,,,,,
DC,Filters,not-bgp-md5,dc-vif,,,,,,
DC,Resources,dc,dc,ListDirectConnectsRequest,,,,,
DC,Resources,dc-vif,dc-vif,ListVirtualInterfacesRequest,,,,,
DEH,Actions,update-dedicated-host,deh,UpdateDedicatedHostRequest,,,,,
DEH,Resources,deh,deh,ListDedicatedHostsRequest,,,,,
ECS,Actions,fetch-job-status,ecs,ShowJobRequest,,,,,
ECS,Actions,instance-add-security-groups,ecs,NovaAssociateSecurityGroupRequest,,,,,
ECS,Actions,instance-delete-metadata-key,ecs,DeleteServerMetadataRequest,,,,,
ECS,Actions,instance-delete-security-groups,ecs,NovaDisassociateSecurityGroupRequest,,,,,
ECS,Actions,instance-reboot,ecs,BatchRebootServersRequest,,,,,
ECS,Actions,instance-resize,ecs,ResizeServerRequest,,,,,
ECS,Actions,instance-snapshot,ecs,ShowVaultRequest,AddVaultResourceRequest,ShowOpLogRequest,ListOpLogsRequest,CreateCheckpointRequest,
ECS,Actions,instance-start,ecs,BatchStartServersRequest,,,,,
ECS,Actions,instance-stop,ecs,BatchStopServersRequest,,,,,
ECS,Actions,instance-terminate,ecs,DeleteServersRequest,,,,,
ECS,Actions,instance-update-imds-token,ecs,UpdateServerMetadataOptionsRequest,,,,,
ECS,Actions,instance-volumes-corrections,ecs,UpdateServerBlockDeviceRequest,,,,,
ECS,Actions,instance-whole-image,ecs,CreateWholeImageRequest,ShowJobProgressRequest,,,,
ECS,Actions,set-instance-profile,ecs,UpdateServerMetadataRequest,,,,,
ECS,Filters,ephemeral,ecs,NovaShowFlavorExtraSpecsRequest,,,,,
ECS,Filters,instance-age,ecs,,,,,,
ECS,Filters,instance-attribute,ecs,ListImagesRequest,,,,,
ECS,Filters,instance-evs,ecs,,,,,,
ECS,Filters,instance-image,ecs,,,,,,
ECS,Filters,instance-image-age,ecs,,,,,,
ECS,Filters,instance-image-not-compliance,ecs,,,,,,
ECS,Filters,instance-imds-token,ecs,ShowServerMetadataOptionsRequest,,,,,
ECS,Filters,instance-tag,ecs,,,,,,
ECS,Filters,instance-uptime,ecs,,,,,,
ECS,Filters,instance-user-data,ecs,ShowServerRequest,,,,,
ECS,Filters,instance-volumes-not-compliance,ecs,,,,,,
ECS,Filters,instance-vpc,ecs,,,,,,
ECS,Resources,ecs,ecs,ListServersDetailsRequest,,,,,
EG,Resources,eg-subscription,eg-subscription,ListSubscriptionsRequest,,,,,
EIP,Actions,delete,eip,DisassociatePublicipsRequest,DeletePublicipRequest,,,,
EIP,Actions,disassociate,eip,DisassociatePublicipsRequest,,,,,
EIP,Filters,associate-instance-type,eip,,,,,,
EIP,Resources,eip,eip,ListPublicipsRequest,,,,,
ELB,Actions,create-lts-log-transfer,elb-loadbalancer,CreateTransferRequest,,,,,
ELB,Actions,delete,elb-loadbalancer,DeleteLoadBalancerCascadeRequest,,,,,
ELB,Actions,delete,elb-listener,DeletePoolCascadeRequest,DeleteListenerForceRequest,,,,
ELB,Actions,enable-logging,elb-loadbalancer,ListLogGroupsRequest,ListLogStreamRequest,CreateLogtankRequest,,,
ELB,Actions,redirect-to-https-listener,elb-listener,ListListenersRequest,CreateL7PolicyRequest,,,,
ELB,Actions,set-acl-ipgroup,elb-listener,ListIpGroupsRequest,UpdateListenerRequest,,,,
ELB,Actions,unbind-publicips,elb-loadbalancer,UpdateLoadBalancerRequest,DisassociatePublicipsRequest,DisassociateInstanceRequest,,,
ELB,Filters,age,elb-loadbalancer,,,,,,
ELB,Filters,age,elb-listener,,,,,,
ELB,Filters,attributes,elb-loadbalancer,,,,,,
ELB,Filters,attributes,elb-listener,,,,,,
ELB,Filters,backend-server-count,elb-loadbalancer,,,,,,
ELB,Filters,is-logging,elb-loadbalancer,,,,,,
ELB,Filters,is-lts-log-transfer,elb-loadbalancer,,,,,,
ELB,Filters,is-not-logging,elb-loadbalancer,,,,,,
ELB,Filters,is-not-lts-log-transfer,elb-loadbalancer,,,,,,
ELB,Filters,is-redirect-to-https-listener,elb-listener,,,,,,
ELB,Filters,publicip-count,elb-loadbalancer,,,,,,
ELB,Resources,elb-listener,elb-listener,ListListenersRequest,,,,,
ELB,Resources,elb-loadbalancer,elb-loadbalancer,ListLoadBalancersRequest,,,,,
ER,Actions,update,er,UpdateEnterpriseRouterRequest,,,,,
ER,Resources,er,er,ListEnterpriseRoutersRequest,,,,,
EVS,Actions,add-volume-to-vault,evs-volume,AddVaultResourceRequest,,,,,
EVS,Actions,associate-volume-vault-to-policy,evs-volume,AssociateVaultPolicyRequest,,,,,
EVS,Actions,backup,evs-volume,CreateCheckpointRequest,,,,,
EVS,Actions,delete,evs-volume,DeleteVolumeRequest,,,,,
EVS,Actions,detach,evs-volume,DetachServerVolumeRequest,,,,,
EVS,Actions,encrypt-instance-data-volumes,evs-volume,ShowServerRequest,DetachServerVolumeRequest,AttachServerVolumeRequest,UpdateServerBlockDeviceRequest,BatchStartServersRequest,DeleteVolumeRequest
EVS,Actions,extend,evs-volume,ResizeVolumeRequest,,,,,
EVS,Actions,snapshot,evs-volume,CreateSnapshotRequest,,,,,
EVS,Filters,last-backup-exceed-safe-time-interval,evs-volume,ListBackupsRequest,,,,,
EVS,Filters,not-protected-by-backup,evs-volume,,,,,,
EVS,Filters,volume-age,evs,,,,,,
EVS,Resources,evs-volume,evs-volume,ListVolumesRequest,,,,,
FUNCTIONGRAPH,Actions,delete-function,functiongraph,DeleteFunctionRequest,,,,,
FUNCTIONGRAPH,Actions,invoke-function,functiongraph,AsyncInvokeFunctionRequest,InvokeFunctionRequest,,,,
FUNCTIONGRAPH,Actions,modify-security-groups,functiongraph,ShowFunctionConfigRequest,,,,,
FUNCTIONGRAPH,Actions,show-function-config,functiongraph,ShowFunctionConfigRequest,,,,,
FUNCTIONGRAPH,Actions,trim-versions,functiongraph,ListFunctionVersionsRequest,ListVersionAliasesRequest,DeleteFunctionRequest,,,
FUNCTIONGRAPH,Actions,update-function-concurrency,functiongraph,UpdateFunctionMaxInstanceConfigRequest,,,,,
FUNCTIONGRAPH,Actions,update-function-config,functiongraph,UpdateFunctionConfigRequest,ShowFunctionConfigRequest,,,,
FUNCTIONGRAPH,Filters,reserved-concurrency,functiongraph,ListReservedInstanceConfigsRequest,,,,,
FUNCTIONGRAPH,Filters,trigger-type,functiongraph,ListFunctionTriggersRequest,,,,,
FUNCTIONGRAPH,Resources,functiongraph,functiongraph,ListFunctionsRequest,,,,,
HSS,Actions,set-wtp-protection-status,hss,SetWtpProtectionStatusInfoRequest,,,,,
HSS,Actions,switch-hosts-protect-status,hss,SwitchHostsProtectStatusRequest,,,,,
HSS,Resources,hss,hss,,,,,,
IAM,Actions,delete,iam-policy,DeletePolicyV5Request,,,,,
IAM,Actions,delete,iam-user,ListAttachedUserPoliciesV5Request,DetachUserPolicyV5Request,DeleteUserV5Request,,,
